,Kod_TERYT,nazwa_samorządu,Województwo,Powiat,typ_JST,nazwa_urzędu_JST,miejscowość,Kod pocztowy,poczta,Ulica,Nr domu,telefon kierunkowy,telefon,telefon 2,wewnętrzny,FAX kierunkowy,FAX,FAX wewnętrzny,ogólny adres poczty elektronicznej gminy/powiatu/województwa,adres www jednostki,ESP,adresy email
0,0224013,Bardo,dolnośląskie,ząbkowicki,GMW,Urząd Miasta i Gminy w Bardzie,Bardo,57-256,Bardo,Rynek,2,74,8171478,,,74,8171424,,umig@bardo.pl Prawidłowy ,www.bardo.pl,/i6p2glp74g/skrytka,['umig@bardo.pl']
1,0202011,Bielawa,dolnośląskie,dzierżoniowski,GM,Urząd Miejski w Bielawie,Bielawa,58-260,Bielawa,pl. Wolności,1,74,8334255,,745,74,8335838,,um@um.bielawa.pl Prawidłowy ,http://um.bielawa.pl/pl/,/9dtk919cxj/skrytka,"['ghor@um.bielawa.pl', 'um@um.bielawa.pl']"
2,0214023,Bierutów,dolnośląskie,oleśnicki,GMW,Urząd Miejski w Bierutowie,Bierutów,56-420,Bierutów,ul. Moniuszki,12,71,3146251,,,71,3146432,,bierutow@bierutow.pl Prawidłowy ,www.bierutow.pl,/umigbierutow/skrytka ,['bierutow@bierutow.pl']
3,0225033,Bogatynia,dolnośląskie,zgorzelecki,GMW,Urząd Miasta i Gminy w Bogatyni,Bogatynia,59-920,Bogatynia,ul. I. Daszyńskiego,1,75,7725115,,,75,7725109,,umig@bogatynia.pl Prawidłowy ,www.bogatynia.pl,/UMiGBog/skrytka,['umig@bogatynia.pl']
4,0221011,Boguszów-Gorce,dolnośląskie,wałbrzyski,GM,Urząd Miejski w Boguszowie-Gorcach,Boguszów-Gorce,58-370,Boguszów-Gorce,Plac Odrodzenia,1,74,8449311,,,74,8449165,,sekretariat@boguszow-gorce.pl Prawidłowy ,www.boguszow-gorce.pl,/umboguszowgorce/skrytka,"['sekretariat@boguszow-gorce.pl', 'iodo@boguszow-gorce.pl']"
5,0201011,Bolesławiec,dolnośląskie,bolesławiecki,GM,Urząd Miasta Bolesławiec,Bolesławiec,59-700,Bolesławiec,Rynek-Ratusz,41,75,6456400,,451,75,6456402,,umboleslawiec@um.boleslawiec.pl Prawidłowy ,www.um.boleslawiec.pl,/UMBoleslawiec/skrytka,['umboleslawiec@um.boleslawiec.pl']
6,0201022,Bolesławiec,dolnośląskie,bolesławiecki,GW,Urząd Gminy Bolesławiec,Bolesławiec,59-700,Bolesławiec,ul.Teatralna,1a,75,7323221,,,75,7351783,,urzadgminy@gminaboleslawiec.pl Nieprawidłowy ,boleslawiec.net.pl,/bopb5o345y/skrytka,"['urzad@boleslawiec.net.pl', 'aktualizacja@boleslawiec.net.pl']"
7,0205023,Bolków,dolnośląskie,jaworski,GMW,Urząd Miejski w Bolkowie,Bolków,59-420,Bolków,Rynek,1,75,7413215,,,75,7413394,,um@bolkow.pl Prawidłowy ,www.bolkow.pl,/30bv64uyir/skrytka,['um@bolkow.pl']
8,0217012,Borów,dolnośląskie,strzeliński,GW,Urząd Gminy Borów,Borów,57-160,Borów,ul.Konstytucji 3 Maja,22,71,3933221,,,71,3933035,,wojt@borow.ug.gov.pl Nieprawidłowy ,www.borow.pl,/rks9yq935f/skrytka,['e.forysiak@borow.ug.gov.pl']
9,0222013,Brzeg Dolny,dolnośląskie,wołowski,GMW,Urząd Miejski w Brzegu Dolnym,Brzeg Dolny,56-120,Brzeg Dolny,ul. Kolejowa,29,71,3195117,,,71,3195683,,um@brzegdolny.pl Nieprawidłowy ,www.brzegdolny.pl,/UM_Brzeg_Dolny/skrytka,
10,0208063,Bystrzyca Kłodzka,dolnośląskie,kłodzki,GMW,Urząd Miasta i Gminy w Bystrzycy Kłodzkiej,Bystrzyca Kłodzka,57-500,Bystrzyca Kłodzka,Plac Wolności ,1,74,8117600,,605,74,8111588,,burmistrz@bystrzycaklodzka.pl,www.bystrzycaklodzka.pl,/UMIGBCA/skrytka,burmistrz@bystrzycaklodzka.pl
11,0216013,Chocianów,dolnośląskie,polkowicki,GMW,Urząd Miasta i Gminy w Chocianowie,Chocianów,59-140,Chocianów,ul. Ratuszowa,10,76,8185020,,,76,8185061,,bok@chocianow.pl,www.chocianow.pl,/umigchocianow/skrytka,bok@chocianow.pl
12,0209011,Chojnów,dolnośląskie,legnicki,GM,Urząd Miejski w Chojnowie,Chojnów,59-225,Chojnów,pl. Zamkowy,1,76,8188285,,,76,8187515,,um.sekretariat@chojnow.eu,www.chojnow.eu,/3jn9c16bak/skrytka,um.sekretariat@chojnow.eu
13,0209022,Chojnów,dolnośląskie,legnicki,GW,Urząd Gminy Chojnów,Chojnów,59-225,Chojnów,ul.Fabryczna,1,76,8188502,,,76,8187587,,urzad@gmina-chojnow.pl,www.gmina-chojnow.pl,/9tvx3f84lx/skrytka,urzad@gmina-chojnow.pl
14,0224022,Ciepłowody,dolnośląskie,ząbkowicki,GW,Urząd Gminy Ciepłowody,Ciepłowody,57-211,Ciepłowody,ul.Kolejowa,3,74,8103556,,,74,8103228,,sekretariat@cieplowody.pl,www.cieplowody.pl,/b1365fhbmd/skrytka,sekretariat@cieplowody.pl
15,0213012,Cieszków,dolnośląskie,milicki,GW,Urząd Gminy Cieszków,Cieszków,56-330,Cieszków,ul. Grunwaldzka,41,71,3848182,,,71,3848102,,sekretariat@ug.cieszkow.pl,www.cieszkow.pl,/85k2waq7tr/skrytka,sekretariat@ug.cieszkow.pl
16,0221042,Czarny Bór,dolnośląskie,wałbrzyski,GW,Urząd Gminy Czarny Bór,Czarny Bór,58-379,Czarny Bór,ul. Główna,18,74,8450139,,,74,8450006,,sekretariat@czarny-bor.pl,www.czarny-bor.pl,/CzarnyBor/skrytka,sekretariat@czarny-bor.pl
17,0223012,Czernica,dolnośląskie,wrocławski,GW,Urząd Gminy Czernica,Czernica,55-003,Czernica,ul. Kolejowa,3,71,7265700,,,71,7265700,,czernica@czernica.pl,www.czernica.iap.pl,/m8rx5cp625/skrytka,czernica@czernica.pl
18,0223022,Długołęka,dolnośląskie,wrocławski,GW,Urząd Gminy Długołęka,Długołęka,55-095,Mirków,ul. Robotnica,12,71,3230203,,,71,3230204,,gmina@gmina.dlugoleka.pl,www.gmina.dlugoleka.pl,/s08vv89yil/skrytka,gmina@gmina.dlugoleka.pl
19,0219032,Dobromierz,dolnośląskie,świdnicki,GW,Urząd Gminy Dobromierz,Dobromierz,58-170,Dobromierz,Plac Wolności,24,74,8586217,,,74,8586460,,ug@dobromierz.pl,www.dobromierz.pl,/crf9021oym/skrytka,ug@dobromierz.pl
20,0214032,Dobroszyce,dolnośląskie,oleśnicki,GW,Urząd Gminy Dobroszyce,Dobroszyce,56-410,Dobroszyce,Rynek,16,71,3141167,,,71,3141276,,sekretariat@dobroszyce.pl,www.dobroszyce.pl,/911-17-77-340/SkrytkaESP,sekretariat@dobroszyce.pl
21,0215022,Domaniów,dolnośląskie,oławski,GW,Urząd Gminy Domaniów,Domaniów,55-216,Domaniów,Domaniów,56,71,3017735,,,71,3017870,,sekretariat@gminadomaniow.pl,www.gminadomaniow.pl,/ugdomaniow/skrytka,sekretariat@gminadomaniow.pl
