PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOå∆;ULICA;NR;GMINA;POWIAT;WOJEW”DZTWO
00-940;Poczta Polska SpÛ≥ka Akcyjna Centrala;Warszawa;Rodziny HiszpaÒskich;8;Warszawa;Warszawa;mazowieckie
00-940;Pion Informatyki i Telekomunikacji Centrala;Warszawa;Rodziny HiszpaÒskich;8;Warszawa;Warszawa;mazowieckie
00-940;Centrum Infrastruktury Centrala;Warszawa;Rodziny HiszpaÒskich;8;Warszawa;Warszawa;mazowieckie
40-940;Centrum Obs≥ugi Finansowej Centrala;Katowice;Plac Oddzia≥Ûw M≥odzieøy PowstaÒczej;7;Katowice;Katowice;úlπskie
00-940;Centrum Rachunkowoúci Centrala;Warszawa;Rodziny HiszpaÒskich;8;Warszawa;Warszawa;mazowieckie
00-940;Centrum Us≥ug Koncesjonowanych Centrala;Warszawa;Rodziny HiszpaÒskich;8;Warszawa;Warszawa;mazowieckie
00-940;Centrum Zarzπdzania Zasobami Ludzkimi Centrala;Warszawa;Rodziny HiszpaÒskich;8;Warszawa;Warszawa;mazowieckie
15-959;Region Infrastruktury w Bia≥ymstoku;Bia≥ystok;Kolejowa;26;Bia≥ystok;Bia≥ystok;podlaskie
80-940;Region Infrastruktury w GdaÒsku;GdaÒsk;Targ Rakowy;7/8;GdaÒsk;GdaÒsk;pomorskie
40-940;Region Infrastruktury w Katowicach;Katowice;Plac Oddzia≥Ûw M≥odzieøy PowstaÒczej;7;Katowice;Katowice;úlπskie
30-093;Region Infrastruktury w Krakowie;KrakÛw;Bronowicka;44;KrakÛw;KrakÛw;ma≥opolskie
20-900;Region Infrastruktury w Lublinie;Lublin;Wac≥awa Moritza;2;Lublin;Lublin;lubelskie
90-940;Region Infrastruktury w £odzi;£Ûdü;Aleja T. Koúciuszki;5/7;£Ûdü;£Ûdü;≥Ûdzkie
60-943;Region Infrastruktury w Poznaniu;PoznaÒ;G≥ogowska;17;PoznaÒ;PoznaÒ;wielkopolskie
70-940;Region Infrastruktury w Szczecinie;Szczecin;al. Niepodleg≥oúci;41/42;Szczecin;Szczecin;zachodniopomorskie
00-941;Region Infrastruktury w Warszawie;Warszawa;åwiÍtokrzyska;31/33;Warszawa;Warszawa;mazowieckie
50-940;Region Infrastruktury we Wroc≥awiu;Wroc≥aw;PowstaÒcÛw ålπskich;134;Wroc≥aw;Wroc≥aw;dolnoúlπskie
80-206;Region Handlowy w GdaÒsku;GdaÒsk;al. Grunwaldzka;108;GdaÒsk;GdaÒsk;pomorskie
80-206;Region Operacyjny w GdaÒsku;GdaÒsk;al. Grunwaldzka;108;GdaÒsk;GdaÒsk;pomorskie
30-945;Region Operacyjny w Krakowie;KrakÛw;Prokocimska;6;KrakÛw;KrakÛw;ma≥opolskie
30-945;Region Handlowy w Krakowie;KrakÛw;Prokocimska;6;KrakÛw;KrakÛw;ma≥opolskie
60-943;Region Operacyjny w Poznaniu;PoznaÒ;G≥ogowska;17;PoznaÒ;PoznaÒ;wielkopolskie
60-943;Region Handlowy w Poznaniu;PoznaÒ;G≥ogowska;17;PoznaÒ;PoznaÒ;wielkopolskie
00-941;Region Operacyjny w Warszawie;Warszawa;åwiÍtokrzyska;31/33;Warszawa;Warszawa;mazowieckie
00-941;Region Handlowy w Warszawie;Warszawa;åwiÍtokrzyska;31/33;Warszawa;Warszawa;mazowieckie
85-900;POL Region Dystrybucji Bydgoszcz;Lisi Ogon;Pocztowa;12;Bia≥e B≥ota;bydgoski;kujawsko-pomorskie
15-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w Bia≥ymstoku;Bia≥ystok;Welurowa;6;Bia≥ystok;Bia≥ystok;podlaskie
15-900;Wydzia≥ Terenowy Transportu w Bia≥ymstoku;Bia≥ystok;Kolejowa;26;Bia≥ystok;Bia≥ystok;podlaskie
19-300;Dzia≥ Ekspedycyjno-Rozdzielczy w E≥ku;E≥k;Fryderyka Chopina;1;E≥k;e≥cki;warmiÒsko-mazurskie
85-700;Wydzia≥ Terenowy Transportu Bydgoszcz;Bydgoszcz;Gajowa;99;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
19-300;Wydzia≥ Terenowy Transportu w E≥ku;E≥k;Suwalska;4 B;E≥k;e≥cki;warmiÒsko-mazurskie
86-300;Wydzia≥ Terenowy Transportu Grudziπdz;Grudziπdz;£yskowskiego;39/41;Grudziπdz;Grudziπdz;kujawsko-pomorskie
88-100;Wydzia≥ Terenowy Transportu Inowroc≥aw;Inowroc≥aw;Dojazdowa;1;Inowroc≥aw;inowroc≥awski;kujawsko-pomorskie
85-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w Lisim Ogonie;Lisi Ogon;Pocztowa;12;Bia≥e B≥ota;bydgoski;kujawsko-pomorskie
87-800;Dzia≥ Ekspedycyjno-Rozdzielczy we W≥oc≥awku;W≥oc≥awek;Stefana Okrzei;63;W≥oc≥awek;W≥oc≥awek;kujawsko-pomorskie
10-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w Olsztynie;Olsztyn;PartyzantÛw;39;Olsztyn;Olsztyn;warmiÒsko-mazurskie
10-417;Wydzia≥ Terenowy Transportu Olsztyn;Olsztyn;Towarowa;4;Olsztyn;Olsztyn;warmiÒsko-mazurskie
