PNA;MIEJSCOWOå∆;ULICA;NUMERY;GMINA;POWIAT;WOJEW”DZTWO
83-440;Abisynia;;;Karsin;koúcierski;pomorskie
20-388;Abramowice Koúcielne;;;G≥usk;lubelski;lubelskie
20-388;Abramowice Prywatne;;;G≥usk;lubelski;lubelskie
21-143;AbramÛw;;;AbramÛw;lubartowski;lubelskie
23-450;AbramÛw;;;Goraj;bi≥gorajski;lubelskie
05-310;Abramy;;;Ka≥uszyn;miÒski;mazowieckie
16-123;Achrymowce;;;Kuünica;sokÛlski;podlaskie
27-640;Adamczowice;;;KlimontÛw;sandomierski;úwiÍtokrzyskie
27-640;Adamczowice (Stara Wieú);;;KlimontÛw;sandomierski;úwiÍtokrzyskie
06-320;Adamczycha;;;Baranowo;ostro≥Ícki;mazowieckie
26-220;Adamek;;;StπporkÛw;konecki;úwiÍtokrzyskie
33-210;Adamierz;;;Olesno;dπbrowski;ma≥opolskie
62-410;Adamierz;;;ZagÛrÛw;s≥upecki;wielkopolskie
62-641;Adamin;;;OlszÛwka;kolski;wielkopolskie
87-815;Adaminowo;;;W≥oc≥awek;w≥oc≥awski;kujawsko-pomorskie
87-815;Adaminowo (£πczki);;;W≥oc≥awek;w≥oc≥awski;kujawsko-pomorskie
99-232;Adamka;;;Zadzim;poddÍbicki;≥Ûdzkie
77-220;Adamki;;;Kocza≥a;cz≥uchowski;pomorskie
87-645;Adamki;;;ZbÛjno;golubsko-dobrzyÒski;kujawsko-pomorskie
98-235;Adamki;;;B≥aszki;sieradzki;≥Ûdzkie
89-506;Adamkowo;;;KÍsowo;tucholski;kujawsko-pomorskie
96-512;Adamowa GÛra;;;M≥odzieszyn;sochaczewski;mazowieckie
32-075;Adamowice;;;Go≥cza;miechowski;ma≥opolskie
47-435;Adamowice;;;Lyski;rybnicki;úlπskie
96-320;Adamowice;;;MszczonÛw;øyrardowski;mazowieckie
99-300;Adamowice;;;Kutno;kutnowski;≥Ûdzkie
05-825;Adamowizna;;;Grodzisk Mazowiecki;grodziski;mazowieckie
16-411;Adamowizna;;;Szypliszki;suwalski;podlaskie
06-232;Adamowo;;;Czerwonka;makowski;mazowieckie
06-540;Adamowo;;;Strzegowo;m≥awski;mazowieckie
07-211;Adamowo;;;D≥ugosiod≥o;wyszkowski;mazowieckie
09-120;Adamowo;;;Nowe Miasto;p≥oÒski;mazowieckie
09-131;Adamowo;;;Joniec;p≥oÒski;mazowieckie
09-228;Adamowo;;;Mochowo;sierpecki;mazowieckie
09-320;Adamowo;;;BieøuÒ;øuromiÒski;mazowieckie
11-300;Adamowo;;;Biskupiec;olsztyÒski;warmiÒsko-mazurskie
13-203;Adamowo;;;Lidzbark;dzia≥dowski;warmiÒsko-mazurskie
14-240;Adamowo;;;Susz;i≥awski;warmiÒsko-mazurskie
17-307;Adamowo;;;Mielnik;siemiatycki;podlaskie
62-541;Adamowo;;;Kleczew;koniÒski;wielkopolskie
64-200;Adamowo;;;Wolsztyn;wolsztyÒski;wielkopolskie
82-300;Adamowo;;;Elblπg;elblπski;warmiÒsko-mazurskie
82-450;Adamowo;;;Stary DzierzgoÒ;sztumski;pomorskie
87-330;Adamowo;;;Jab≥onowo Pomorskie;brodnicki;kujawsko-pomorskie
87-602;Adamowo;;;Chrostkowo;lipnowski;kujawsko-pomorskie
89-422;Adamowo;;;WiÍcbork;sÍpoleÒski;kujawsko-pomorskie
09-320;Adamowo (Wilczy OstrÛw);;;BieøuÒ;øuromiÒski;mazowieckie
89-422;Adamowo-Leúnictwo;;;WiÍcbork;sÍpoleÒski;kujawsko-pomorskie
05-307;AdamÛw;;;Dobre;miÒski;mazowieckie
05-825;AdamÛw;;;Grodzisk Mazowiecki;grodziski;mazowieckie
07-111;AdamÛw;;;Wierzbno;wÍgrowski;mazowieckie
