PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
26-337;UP Aleksandrów k. Opoczna;Aleksandrów;;39 C;Aleksandrów;piotrkowski;³ódzkie
26-341;FUP Aleksandrów k. Opoczna;Mniszków;Powstañców Wielkopolskich;1;Mniszków;opoczyñski;³ódzkie
87-700;UP Aleksandrów Kujawski 1;Aleksandrów Kujawski (Aleksandrówek);Dworcowa;1;Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie
87-712;FUP Aleksandrów Kujawski 1;Aleksandrów Kujawski (Aleksandrówek);Szkolna;13;Aleksandrów Kujawski;aleksandrowski;kujawsko-pomorskie
95-070;UP Aleksandrów £ódzki 1;Aleksandrów £ódzki;Wojska Polskiego;69;Aleksandrów £ódzki;zgierski;³ódzkie
95-069;FUP Aleksandrów £ódzki 1;Aleksandrów £ódzki;Warszawska;3;Aleksandrów £ódzki;zgierski;³ódzkie
95-071;FUP Aleksandrów £ódzki 1;R¹bieñ;Pañska;14;Aleksandrów £ódzki;zgierski;³ódzkie
32-566;UP Alwernia;Alwernia;Zbigniewa Gêsikowskiego;7;Alwernia;chrzanowski;ma³opolskie
32-551;FUP Alwernia;Babice;Krakowska;47;Babice;chrzanowski;ma³opolskie
06-212;AP Amelin;Amelin;;8;Krasnosielc;makowski;mazowieckie
34-120;UP Andrychów;Andrychów;Krakowska;100;Andrychów;wadowicki;ma³opolskie
34-120;FUP Andrychów;Andrychów;Stanis³awa Lenartowicza;36 b;Andrychów;wadowicki;ma³opolskie
34-122;FUP Andrychów;Wieprz;Centralna;1;Wieprz;wadowicki;ma³opolskie
07-305;UP Andrzejewo k. Czy¿ewa;Andrzejewo;Wysocka;1 A;Andrzejewo;ostrowski;mazowieckie
23-235;UP Annopol;Annopol;Rynek;24;Annopol;kraœnicki;lubelskie
37-455;AP Antoniów;Antoniów;;114;Radomyœl nad Sanem;stalowowolski;podkarpackie
16-305;AP Augustów;Augustów;3 Maja;4;Augustów;augustowski;podlaskie
16-300;UP Augustów 1;Augustów;rynek Zygmunta Augusta;3;Augustów;augustowski;podlaskie
16-300;FUP Augustów 1;Augustów;Komunalna;2;Augustów;augustowski;podlaskie
16-301;FUP Augustów 1;skrytki/przegródki;;;Augustów;augustowski;podlaskie
16-302;FUP Augustów 1;Augustów;Partyzantów;42;Augustów;augustowski;podlaskie
16-320;FUP Augustów 1;Barg³ów Koœcielny;Tysi¹clecia;2;Barg³ów Koœcielny;augustowski;podlaskie
16-304;FUP Augustów 1;Nowinka;;27A;Nowinka;augustowski;podlaskie
16-326;FUP Augustów 1;P³aska;;53;P³aska;augustowski;podlaskie
16-303;UP Augustów 5;Augustów;Ho¿a;2 B;Augustów;augustowski;podlaskie
62-620;UP Babiak;Babiak;pl. Wolnoœci;2;Babiak;kolski;wielkopolskie
66-110;UP Babimost;Babimost;Wolsztyñska;3;Babimost;zielonogórski;lubuskie
09-130;UP Baboszewo;Baboszewo;Jana i Antoniego Brodeckich;1;Baboszewo;p³oñski;mazowieckie
09-164;FUP Baboszewo;Dzierz¹¿nia;;28;Dzierz¹¿nia;p³oñski;mazowieckie
26-020;AP Balice k. Buska-Zdroju;Balice;;81;Gnojno;buski;œwiêtokrzyskie
80-297;AP Banino;Banino;Klonowa;12;¯ukowo;kartuski;pomorskie
62-081;AP Baranowo;Baranowo;Szamotulska;26j;Tarnowo Podgórne;poznañski;wielkopolskie
