PNA;NAZWA INSTYTUCJI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
00-923;Bank Handlowy w Warszawie S.A.;Warszawa (Œródmieœcie);Senatorska;16;Warszawa;Warszawa;mazowieckie
85-959;Bank Pocztowy S.A. Centrala;Bydgoszcz;Jagielloñska;17;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
40-159;"Biuro Studiów, Projektów i Realizacji ""ENERGOPROJEKT-KATOWICE"" S.A.";Katowice;Jesionowa;15;Katowice;Katowice;œl¹skie
30-100;BROKER FM S.A.;Kraków (Kraków-Krowodrza);Aleja Jerzego Waszyngtona;1;Kraków;Kraków;ma³opolskie
00-980;Centrala Zak³adu Ubezpieczeñ Spo³ecznych w Warszawie;Warszawa (Mokotów);Czerniakowska;16;Warszawa;Warszawa;mazowieckie
40-273;ENERGOAPARATURA S.A.;Katowice;gen. Kazimierza Pu³askiego;7;Katowice;Katowice;œl¹skie
60-909;Europejska Szko³a Kszta³cenia Korespond. (ESKK);Poznañ (Poznañ-Nowe Miasto);Forteczna;17a;Poznañ;Poznañ;wielkopolskie
00-992;Fabryka Samochodów Osobowych S.A.;Warszawa (Praga-Pó³noc);Jagielloñska;88;Warszawa;Warszawa;mazowieckie
61-501;Izba Administracji Skarbowej;Poznañ (Poznañ-Wilda);Dolna Wilda;80a;Poznañ;Poznañ;wielkopolskie
60-919;Klasztor o.o. Dominikanów w Poznaniu;Poznañ (Poznañ-Stare Miasto);Tadeusza Koœciuszki;99;Poznañ;Poznañ;wielkopolskie
20-914;Lubelski Urz¹d Wojewódzki;Lublin;Spokojna;4;Lublin;Lublin;lubelskie
00-939;Media Express Sp. z o.o.;Warszawa (Praga-Po³udnie);Jubilerska;10;Warszawa;Warszawa;mazowieckie
00-983;Miasto Sto³eczne Warszawa Dzielnica Targówek;Warszawa (Targówek);Ludwika Kondratowicza;20;Warszawa;Warszawa;mazowieckie
00-928;Ministerstwo Infrastruktury;Warszawa (Œródmieœcie);Tytusa Cha³ubiñskiego;4/6;Warszawa;Warszawa;mazowieckie
00-919;Narodowy Bank Polski Centrala;Warszawa (Œródmieœcie);Œwiêtokrzyska;11/21;Warszawa;Warszawa;mazowieckie
20-950;Per³a-Browary Lubelskie S.A.;Lublin;Bernardyñska;15;Lublin;Lublin;lubelskie
61-501;Pierwszy Urz¹d Skarbowy;Poznañ (Poznañ-Wilda);Dolna Wilda;80;Poznañ;Poznañ;wielkopolskie
22-411;PKO Bank Polski Kancelaria;Zamoœæ;Partyzantów;15;Zamoœæ;Zamoœæ;lubelskie
60-914;PKO BP Oddzia³ I w Poznaniu;Poznañ (Poznañ-Stare Miasto);pl. Wolnoœci;3;Poznañ;Poznañ;wielkopolskie
40-980;PKO BP SA CRB Biuro w Katowicach;Katowice;Konstantego Damrota;23;Katowice;Katowice;œl¹skie
00-944;PKO BP SA Oddzia³  I w Warszawie;Warszawa (Œródmieœcie);Henryka Sienkiewicza;12;Warszawa;Warszawa;mazowieckie
50-901;PKO BP SA Oddzia³  I we Wroc³awiu;Wroc³aw (Wroc³aw-Stare Miasto);Wita Stwosza;33/35;Wroc³aw;Wroc³aw;dolnoœl¹skie
90-924;Politechnika £ódzka;£ódŸ (£ódŸ-Polesie);Stefana ¯eromskiego;116;£ódŸ;£ódŸ;³ódzkie
00-977;Polskie Radio S.A.;Warszawa (Mokotów);Aleja Niepodleg³oœci;77/85;Warszawa;Warszawa;mazowieckie
00-906;Przedsiêbiorstwo Pañstwowe Porty Lotnicze;Warszawa (W³ochy);¯wirki i Wigury;1;Warszawa;Warszawa;mazowieckie
00-933;"Redakcja ""Tele Tydzieñ""";Warszawa (Praga-Po³udnie);Motorowa;1;Warszawa;Warszawa;mazowieckie
00-929;"Redakcja ""Twoje Imperium""";Warszawa (Praga-Po³udnie);Motorowa;1;Warszawa;Warszawa;mazowieckie
90-921;S¹d Okrêgowy w £odzi;£ódŸ (£ódŸ-Œródmieœcie);pl. gen. Henryka D¹browskiego;5;£ódŸ;£ódŸ;³ódzkie
90-928;S¹d Rejonowy dla £odzi Œródmieœcia;£ódŸ (£ódŸ-Œródmieœcie);Aleja T. Koœciuszki;107/109;£ódŸ;£ódŸ;³ódzkie
00-937;Spó³dzielnia Rozrywka;Warszawa (Œródmieœcie);Wilcza;50/52;Warszawa;Warszawa;mazowieckie
00-904;Sztab Generalny Wojska Polskiego;Warszawa (Mokotów);Rakowiecka;4a;Warszawa;Warszawa;mazowieckie
00-988;Œwiat Ksi¹¿ki Sp. z o.o.;Warszawa (Ursynów);Jana Roso³a;10;Warszawa;Warszawa;mazowieckie
00-945;Telekomunikacja Polska S.A;Warszawa (Œródmieœcie);Œwiêtokrzyska;3;Warszawa;Warszawa;mazowieckie
15-425;Telekomunikacja Polska S.A.;Bia³ystok;Cieszyñska;3a;Bia³ystok;Bia³ystok;podlaskie
60-941;Telekomunikacja Polska S.A. Dyrekcja Okrêgu;Poznañ (Poznañ-Stare Miasto);Tadeusza Koœciuszki;77;Poznañ;Poznañ;wielkopolskie
00-999;Telewizja Polska S.A.;Warszawa (Mokotów);Jana Paw³a Woronicza;17;Warszawa;Warszawa;mazowieckie
45-899;TP S.A. Obszar Relacji z Klientami;Opole;Kazimierza Sosnkowskiego;20;Opole;Opole;opolskie
00-927;Uniwersytet Warszawski;Warszawa (Œródmieœcie);Krakowskie Przedmieœcie;26/28;Warszawa;Warszawa;mazowieckie
90-926;Urz¹d Miasta £odzi;£ódŸ (£ódŸ-Œródmieœcie);Piotrkowska;104;£ódŸ;£ódŸ;³ódzkie
70-456;Urz¹d Miasta Szczecin;Szczecin;Plac Armii Krajowej;1;Szczecin;Szczecin;zachodniopomorskie
60-965;Urz¹d Skarbowy Poznañ - Nowe Miasto;Poznañ (Poznañ-Wilda);Dezyderego Ch³apowskiego;17/18;Poznañ;Poznañ;wielkopolskie
61-501;Urz¹d Skarbowy POznañ - Wilda;Poznañ (Poznañ-Wilda);Dolna Wilda;80b;Poznañ;Poznañ;wielkopolskie
60-918;Wielkopolska Korporacja Techniczna (WKT) - NOT;Poznañ (Poznañ-Stare Miasto);Henryka Wieniawskiego;5/9;Poznañ;Poznañ;wielkopolskie
60-920;"Wydawnictwo Polskiej Prowincji Dominikanów ""W Drodze""";Poznañ (Poznañ-Stare Miasto);Tadeusza Koœciuszki;99;Poznañ;Poznañ;wielkopolskie
70-502;Zachodniopomorski Urz¹d Wojewódzki w Szczecinie;Szczecin;Wa³y Chrobrego;4;Szczecin;Szczecin;zachodniopomorskie
90-930;Zak³ad Ubezpieczeñ Spo³ecznych I Oddzia³ w £odzi;£ódŸ (£ódŸ-Œródmieœcie);Ludwika Zamenhofa;2;£ódŸ;£ódŸ;³ódzkie
00-917;Zak³ad Ubezpieczeñ Spo³ecznych I Oddzia³ w Warszawie;Warszawa (Œródmieœcie);Senatorska;6/8;Warszawa;Warszawa;mazowieckie
00-982;Zak³ad Ubezpieczeñ Spo³ecznych III Oddzia³ w Warszawie;Warszawa (Mokotów);Czerniakowska;16;Warszawa;Warszawa;mazowieckie
15-951;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Bia³ymstoku;Bia³ystok;M³ynowa;29;Bia³ystok;Bia³ystok;podlaskie
43-350;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Bielsku-Bia³ej;Bielsko-Bia³a;Zygmunta Krasiñskiego;34;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie
41-530;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Chorzowie, Inspektorat w Katowicach;Chorzów;gen. Henryka D¹browskiego;45;Chorzów;Chorzów;œl¹skie
42-294;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Czêstochowie;Czêstochowa;gen. Jana Henryka D¹browskiego;43/45;Czêstochowa;Czêstochowa;œl¹skie
81-980;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Gdañsku, Inspektorat w Gdyni;Gdynia;W³adys³awa IV;24;Gdynia;Gdynia;pomorskie
25-960;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Kielcach;Kielce;Piotrkowska;27;Kielce;Kielce;œwiêtokrzyskie
75-840;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Koszalinie;Koszalin;Fa³ata Juliana;30;Koszalin;Koszalin;zachodniopomorskie
30-450;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Krakowie, Inspektorat Kraków - Podgórze;Kraków (Kraków-Podgórze);Zakopiañska;62;Kraków;Kraków;ma³opolskie
10-570;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Olsztynie;Olsztyn;Plac Konsulatu Polskiego;4;Olsztyn;Olsztyn;warmiñsko-mazurskie
76-280;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w S³upsku;S³upsk;pl. Zwyciêstwa;8;S³upsk;S³upsk;pomorskie
70-769;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Szczecinie;Szczecin;Andre Citroena;2;Szczecin;Szczecin;zachodniopomorskie
70-520;Zak³ad Ubezpieczeñ Spo³ecznych Oddzia³ w Szczecinie;Szczecin;Jana Matejki;22;Szczecin;Szczecin;zachodniopomorskie
45-910;Zak³ad Ubezpieczeñ Spo³ecznych w Opolu;Opole;Wroc³awska;24;Opole;Opole;opolskie
35-075;Zak³ad Ubezpieczeñ Spo³ecznych w Rzeszowie;Rzeszów;al. Józefa Pi³sudskiego;12;Rzeszów;Rzeszów;podkarpackie
50-930;Zak³ad Ubezpieczeñ Spo³ecznych we Wroc³awiu;Wroc³aw (Wroc³aw-Krzyki);Bernarda Pretficza;11;Wroc³aw;Wroc³aw;dolnoœl¹skie
00-992;ZOMIS Sp. z o.o.;Warszawa (Praga-Pó³noc);Jagielloñska;88;Warszawa;Warszawa;mazowieckie
